Interest,Category
Basketball,Sports and Tournaments
Golf,Sports and Tournaments
Running,Sports and Tournaments
Walking,Fandom
Soccer,Sports and Tournaments
Volleyball,Fundraising
Badminton,Sports and Tournaments
Yoga,Fandom
Pilates,Fandom
Swimming,Sports and Tournaments
Ice Skating,Fandom
Figure Skating,Fandom
Rugby,Sports and Tournaments
Darts,Fandom
Football,Sports and Tournaments
Tai Chi,Fandom
Bowling,Fandom
Rock Climbing,Fandom
Dancing,Fandom
Taekwondo,Fundraising
Weightlifting,Fundraising
Sky Diving,Sports and Tournaments
Boxing,Sports and Tournaments
Board Games,Fandom
Table Tennis,Fandom
Hiking,Fandom
Juggling,Sports and Tournaments
Oil Painting,Festivals and Fairs
Sculpture,Festivals and Fairs
Drawing,Festivals and Fairs
Stained Glass,Food and Drink
Origami,Networking
Programming,Hackathons
Magic,Fandom
Makeup Art,Festivals and Fairs
Hair Styling,Food and Drink
Acting,Festivals and Fairs
Fashion Design,Festivals and Fairs
Carving,Food and Drink
Writing,Corporate
Sudoku,Fundraising
Blogging,Food and Drink
Book Club,Conferences and Workshops
Listening to Podcasts,Conferences and Workshops
Singing,Fundraising
Lego Sets,Fandom
Model Cars,Conferences and Workshops
Puzzles,Virtual
Video Games,Virtual
Cocktails,Food and Drink
BBQ,Food and Drink
Baking,Food and Drink
Online Game,Virtual
Bingo,Sports and Tournaments
Card Games,Fundraising
Furniture Building,Fundraising
Sightseeing,Festivals and Fairs
Knitting,Food and Drink
Sketching,Food and Drink
Visiting Museums,Festivals and Fairs
Poetry,Fandom
Meditation,Networking
